"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,"Me gusta","Veces que se compartió",Respuestas,Alcance,"Visitas al perfil",Navegación,Seguimientos,"Clics en el enlace","Toques en stickers"
17896248707757013,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/10/2023 11:18",,"Historia de Instagram",,Total,3,0,0,928,4,953,,,
18252696478178051,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Voy a facilitar este taller junto a mis compañeras de @ekrmexico",0,"02/10/2023 11:17",,"Historia de Instagram",,Total,2,0,0,1345,20,1357,,,
18203310439209627,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/08/2023 17:37",,"Historia de Instagram",,Total,4,0,0,931,9,936,,,2
18270244759114814,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Yo estoy detrás de la cámara 🙈",30,"02/08/2023 17:36",,"Historia de Instagram",,Total,7,0,0,872,8,865,,,
18340696168004121,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","A punto de empezar el Death Café con @ekrmexico",0,"02/08/2023 17:34",,"Historia de Instagram",,Total,2,0,1,1122,9,1137,,,
17976113725993668,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"02/08/2023 17:33",,"Historia de Instagram",,Total,1,0,0,1483,9,1273,,,
17874462443785561,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"02/06/2023 16:59",,"Historia de Instagram",,Total,9,0,2,1103,10,1104,,,
18029498278422310,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Los sueños pueden crear cambios que hacen olas",6,"02/06/2023 09:11",,"Historia de Instagram",,Total,7,0,0,1333,11,1229,,19,
17981260231813490,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Un mensaje para
Comenzar la
