"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,"Toques en stickers",Navegación,Seguimientos
18054681259789966,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco todo el apoyo que me brindan en la maternidad @titeresdeluna  Ginna Vazkez y @cgaribi (no tenemos foto!).

¡Las quiero y nos vemos en la posada!",0,"12/09/2024 07:47",,"Historia de Instagram",,Total,9264,9067,5,0,23,0,5,9170,
18049677059509780,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco la presencia en mi vida de mi perrisobrina, está bien esponjosita y me gusta mucho acariciarla.... Me da mucha ternura su alegría por cosas simples, cómo salir a pasear y que se toma muy en serio su papel de guardiana. 🐕

¿Tu qué agradeces hoy?",0,"12/07/2024 17:49",,"Historia de Instagram",,Total,5919,5790,8,0,10,0,,5708,
18028316393423197,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco ser parte de @ekrmexico  y de su espacio formativo @espaciofim  pero sobre todo, caminar este camino a lado de @wilka_roig  quién siempre es una gran inspiración y apoyo para mí, y @dra.sandra.reyes  que siempre me impulsa a ser mejor e igualmente es un gran apoyo. ¡Las quiero mucho!

¿Tu qué agradeces hoy?",0,"12/06/2024 16:48",,"Historia de Instagram",,Total,7195,7047,5,0,12,0,,7037,
18476568439050058,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco mi amistad de casi 30 años(!!!) con @monica_tay_reznor  no me alcanza un post para contar todo lo que hemos vivido juntas. Tqm amiga.

¿Tu qué agradeces hoy?",0,"12/05/2024 14:50",,"Historia de Instagram",,Total,10801,10516,10,0,50,0,2,10645,
18050136700849085,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco ser mamá, aún con todo lo difícil que resulta a veces.

Foto de hace 7 años, cuando tenía el pelo azul.

¿Tu qué agradeces hoy?",0,"12/04/2024 14:24",,"Historia de Instagram",,Total,8307,8147,7,0,51,0,,7999,
18129623137379024,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","#31díasdegratitud

Día 3:
Hoy doy gracias por todos los momentos felices junto a mis seres queridos. 

¿Tu por qué das gracias hoy?",3,"12/03/2024 14:53",,"Historia de Instagram",,Total,2859,2693,2,0,12,1,,2361,
18029112029430221,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco todos los sueños, los míos, los de ustedes, los que recordamos, los que olvidamos... porque son parte de nosotros.

¿Tu qué agradeces hoy?",0,"12/02/2024 12:21",,"Historia de Instagram",,Total,2309,2222,9,0,13,1,,2264,
18012186923655528,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Tengo cómo práctica publicar un agradecimiento diario durante el mes de Diciembre para empezar el año nuevo con el corazón lleno de gratitud. 

¡Comienzo agradeciendo que me sigues!

¿Tu qué agradeces hoy?",0,"12/01/2024 12:11",,"Historia de Instagram",,Total,6211,6064,16,0,30,1,,6003,
18084389776543941,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen
inicio de
semana!",0,"11/25/2024 11:43",,"Historia de Instagram",,Total,3828,3648,8,0,38,0,,3855,
18047192987026329,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen
Finde!",0,"11/22/2024 09:13",,"Historia de Instagram",,Total,5167,5058,8,0,55,1,,5191,
