"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace"
18021619736009096,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,14,"02/23/2024 18:16",,"Historia de Instagram",,Total,148,3,0,2,0,152,
18053140738512025,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,17,"02/23/2024 18:09",,"Historia de Instagram",,Total,170,2,0,,0,169,
18010297595266609,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,"02/23/2024 17:46",,"Historia de Instagram",,Total,243,1,0,2,0,245,
17972923256527942,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/23/2024 05:57",,"Historia de Instagram",,Total,148,0,0,,0,156,
18017821243929935,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/23/2024 05:57",,"Historia de Instagram",,Total,154,0,0,,0,165,
18000913439455078,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/23/2024 05:57",,"Historia de Instagram",,Total,165,0,0,1,0,178,
17967113129574541,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/23/2024 05:57",,"Historia de Instagram",,Total,187,1,0,,0,197,
18093913939397016,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/23/2024 05:57",,"Historia de Instagram",,Total,302,0,0,2,0,311,
17846697573143152,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"02/21/2024 17:34",,"Historia de Instagram",,Total,172,2,0,,0,176,4
17850113622127381,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/21/2024 17:34",,"Historia de Instagram",,Total,190,0,0,1,0,200,
18030567940731011,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/21/2024 17:34",,"Historia de Instagram",,Total,302,0,0,3,0,305,
18035575270793649,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/20/2024 12:56",,"Historia de Instagram",,Total,189,3,0,2,0,201,9
18051166369572724,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/20/2024 12:56",,"Historia de Instagram",,Total,204,0,0,1,0,198,
17870275182063473,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/20/2024 12:56",,"Historia de Instagram",,Total,232,0,0,1,0,232,
18302918275151512,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,28,"02/20/2024 07:45",,"Historia de Instagram",,Total,294,2,0,2,1,294,
18078725026443098,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/19/2024 10:50",,"Historia de Instagram",,Total,185,1,0,,0,200,
17915665244893548,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/19/2024 10:50",,"Historia de Instagram",,Total,210,3,0,,0,224,
18070434526474545,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/19/2024 10:50",,"Historia de Instagram",,Total,249,3,0,1,0,255,
18049003036596907,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/19/2024 09:11",,"Historia de Instagram",,Total,481,5,0,9,0,496,
18228630646254416,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/16/2024 13:26",,"Historia de Instagram",,Total,5336,5,0,33,0,5275,
18016265081293076,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/13/2024 16:32",,"Historia de Instagram",,Total,1331,5,0,9,0,1377,
18117982447343105,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/12/2024 10:12",,"Historia de Instagram",,Total,299,0,0,,0,305,
18085420177424689,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/12/2024 10:12",,"Historia de Instagram",,Total,342,1,0,1,0,349,
17853769290114978,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/12/2024 10:12",,"Historia de Instagram",,Total,518,1,0,,0,473,
18021386167990991,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/10/2024 14:29",,"Historia de Instagram",,Total,356,3,0,1,0,354,6
17913241196874771,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/10/2024 14:29",,"Historia de Instagram",,Total,576,4,0,5,0,588,
18014386037165542,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/07/2024 09:08",,"Historia de Instagram",,Total,1217,3,0,9,2,1177,
18032459593840285,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"02/02/2024 11:10",,"Historia de Instagram",,Total,381,2,0,,0,360,
18033536029755287,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"02/02/2024 11:10",,"Historia de Instagram",,Total,446,1,0,2,0,407,
17987973380617290,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"02/02/2024 08:53",,"Historia de Instagram",,Total,726,2,0,7,0,736,
18034465675780697,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/30/2024 17:09",,"Historia de Instagram",,Total,1601,7,0,10,0,1669,
18138482848311157,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/29/2024 12:35",,"Historia de Instagram",,Total,757,5,0,4,0,767,
18069935173420651,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/11/2024 16:09",,"Historia de Instagram",,Total,937,1,0,7,0,976,
18032459980776815,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En diciembre del 2018 tomé un café con una amiga. No sabía que era la última vez que la vería. Hoy vine a tomar un café a ese lugar para honrarla. Puedes tener una relación simbólica con quiénes ya no están.",5,"01/07/2024 19:22",,"Historia de Instagram",,Total,979,4,0,6,0,968,
18050610322547973,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2024 19:42",,"Historia de Instagram",,Total,4546,4,0,23,0,4642,
18015095879040436,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"01/05/2024 12:08",,"Historia de Instagram",,Total,169,3,0,1,0,161,
17870527002041668,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"01/05/2024 12:08",,"Historia de Instagram",,Total,176,3,0,1,0,171,
18030631123766711,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"01/05/2024 12:08",,"Historia de Instagram",,Total,180,3,0,,0,162,
18004033061337325,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"01/05/2024 12:08",,"Historia de Instagram",,Total,189,3,0,,0,164,
17907586100902619,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"01/05/2024 12:08",,"Historia de Instagram",,Total,217,3,0,,0,190,
18023546668922061,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"01/05/2024 12:08",,"Historia de Instagram",,Total,240,3,0,1,0,207,
18016326101019530,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/05/2024 12:08",,"Historia de Instagram",,Total,368,3,0,4,0,373,
17984267888403551,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/04/2024 13:12",,"Historia de Instagram",,Total,3137,14,0,24,3,3111,
17849426808101056,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/03/2024 07:18",,"Historia de Instagram",,Total,188,1,0,1,1,176,
18223733149248221,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,"01/03/2024 07:18",,"Historia de Instagram",,Total,188,1,0,,0,165,
17995883903219918,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"01/03/2024 07:18",,"Historia de Instagram",,Total,192,0,0,,0,145,
18001229102141131,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/03/2024 07:18",,"Historia de Instagram",,Total,207,1,0,,0,192,
17963688734689574,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"01/03/2024 07:18",,"Historia de Instagram",,Total,222,1,0,,0,187,
18018924505963220,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"01/03/2024 07:18",,"Historia de Instagram",,Total,237,0,0,,0,214,
17851446204106667,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Has tenido un sueño premonitorio que te asusta?",3,"01/03/2024 07:18",,"Historia de Instagram",,Total,270,0,0,1,0,208,
17900178386926640,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/03/2024 06:00",,"Historia de Instagram",,Total,512,5,1,8,0,532,
18013274500902670,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"01/01/2024 10:04",,"Historia de Instagram",,Total,444,5,0,3,0,453,
18037869748589467,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Quieres saber cómo
explorar el mensaje
de tu primer sueño del año?",0,"01/01/2024 10:00",,"Historia de Instagram",,Total,465,1,0,,0,465,
