"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos
18021616280582609,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy lista para dar una clase sobre Trabajo con sueños y marketing para @institutefordreamstudies",0,"09/13/2024 09:44",,"Historia de Instagram",,Total,1695,1621,2,0,6,0,1672,,1
18055221559655345,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Voy a una fiesta, hice lo mejor que pude para parecer de los 90s (Aunque si soy 🤣)",7,"09/14/2024 16:23",,"Historia de Instagram",,Total,2082,2003,11,0,24,1,1998,,
17923595351951972,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Y hoy tocó fiesta mexicana",0,"09/15/2024 18:43",,"Historia de Instagram",,Total,11810,11531,14,0,104,1,11795,,
17893572719996262,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Feliz 
Finde!",0,"09/20/2024 10:30",,"Historia de Instagram",,Total,5123,4924,7,0,59,0,5192,,1
18033235319019018,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy por fin 
veré 
Beetlejuice",3,"09/22/2024 11:04",,"Historia de Instagram",,Total,1725,1684,6,0,14,1,1410,,
18062660713632900,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","But first,
Coffee",0,"09/25/2024 10:07",,"Historia de Instagram",,Total,3642,3570,5,0,15,0,3675,,
18313632556093128,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Hoy voy a probar 
algo nuevo! ¡Te cuento 
pronto cómo 
me fue! #HyaluronGelNiveaFM

#HyaluronGel",3,"09/26/2024 11:51",,"Historia de Instagram",,Total,596,583,5,0,4,1,538,,
17928170204949308,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Bonito inicio 
de semana",0,"09/30/2024 09:20",,"Historia de Instagram",,Total,2232,2172,4,0,9,0,2247,,
18001257932633315,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Si estás en
San Miguel de Allende!",15,"07/09/2024 13:51",,"Historia de Instagram",,Total,760,742,3,0,8,0,764,,
17849846217252025,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/25/2024 10:45",,"Historia de Instagram",,Total,330,324,1,0,2,0,412,,
