"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,"Toques en stickers",Navegación
18046560505711272,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/25/2024 14:21",,"Historia de Instagram",,Total,153,3,0,,0,,148
18205888579304380,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/25/2024 14:21",,"Historia de Instagram",,Total,160,2,0,,0,,152
18000745823326792,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/25/2024 14:21",,"Historia de Instagram",,Total,180,2,0,,0,,170
17930676725759212,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/25/2024 11:37",,"Historia de Instagram",,Total,196,7,0,1,0,,193
17913001130927880,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/25/2024 08:42",,"Historia de Instagram",,Total,251,0,0,3,0,,258
18028268075050102,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/24/2024 14:50",,"Historia de Instagram",,Total,321,3,0,,0,,327
18055639441574742,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/24/2024 14:48",,"Historia de Instagram",,Total,439,2,0,4,0,4,434
18027768115979342,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/19/2024 12:54",,"Historia de Instagram",,Total,702,1,0,1,0,,696
18086973742395026,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/19/2024 07:49",,"Historia de Instagram",,Total,1921,5,0,23,0,,1935
17961976394738417,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"04/12/2024 22:11",,"Historia de Instagram",,Total,2114,5,0,22,1,,1884
17973451595559492,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/10/2024 20:00",,"Historia de Instagram",,Total,179,0,0,2,0,2,179
18423348265063754,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"04/10/2024 19:55",,"Historia de Instagram",,Total,291,0,0,8,0,3,287
18030160687938278,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/05/2024 16:29",,"Historia de Instagram",,Total,245,0,0,1,0,,243
18014774132261162,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/05/2024 16:28",,"Historia de Instagram",,Total,405,0,0,2,0,,387
18263806693237702,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/04/2024 16:37",,"Historia de Instagram",,Total,699,3,0,5,0,,752
17975357888690922,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"04/04/2024 16:36",,"Historia de Instagram",,Total,1003,7,0,3,1,,972
18019164350477125,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/01/2024 17:26",,"Historia de Instagram",,Total,777,7,0,8,1,,797
18039303238792056,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"04/01/2024 10:44",,"Historia de Instagram",,Total,205,1,0,2,2,,199
17901641768888554,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/01/2024 10:44",,"Historia de Instagram",,Total,216,0,0,1,0,,207
17973838271690193,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"04/01/2024 10:44",,"Historia de Instagram",,Total,227,1,0,,0,,207
17899755845969921,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/01/2024 10:44",,"Historia de Instagram",,Total,248,1,0,1,0,,234
17888330535009679,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"04/01/2024 10:44",,"Historia de Instagram",,Total,263,1,0,1,0,,242
18041652757844387,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,223,1,0,5,0,,231
