"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,Seguimientos,"Toques en stickers","Clics en el enlace"
18020701222495444,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Con mi bff @monicagamezwriter",0,"04/26/2023 17:35",,"Historia de Instagram",,Total,1053,1,0,10,2,1068,,2,
17933166452661777,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","El domingo seré parte de la puesta en escena ""Magos del corazón""",0,"04/27/2023 19:14",,"Historia de Instagram",,Total,738,3,0,6,0,732,,,
17994819994858186,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Por si andan en",0,"04/27/2023 19:17",,"Historia de Instagram",,Total,464,2,0,2,0,467,,,
17842960805987561,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy en una clase sobre sueños y Shamanismo con el autor Stanley Krippner Gracias @institutefordreamstudies",0,"04/28/2023 10:32",,"Historia de Instagram",,Total,674,3,0,6,0,648,,,
17896717853795180,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Stanley Krippner habla de cómo a través de los sueños tenemos acceso a información de una forma no ordinaria",0,"04/28/2023 10:35",,"Historia de Instagram",,Total,498,2,0,3,0,485,,,
17973892640260569,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/28/2023 10:37",,"Historia de Instagram",,Total,430,0,0,2,0,424,,,
18055911589405833,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/28/2023 23:44",,"Historia de Instagram",,Total,1059,2,0,7,0,1048,,,
18265884289126183,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Tuve ensayo con vestuario",0,"04/29/2023 14:58",,"Historia de Instagram",,Total,1013,1,0,3,0,1013,,,
18253901530159555,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Sueños despiertos",15,"04/29/2023 19:53",,"Historia de Instagram",,Total,692,2,0,5,0,711,,,
17952412109454555,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"04/30/2023 06:51",,"Historia de Instagram",,Total,583,0,0,3,0,596,,,
18015233257572803,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/30/2023 19:20",,"Historia de Instagram",,Total,1156,1,0,4,0,1149,,,
18021217639546661,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/30/2023 19:20",,"Historia de Instagram",,Total,872,1,0,2,0,872,,,
17966757038230665,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/30/2023 19:20",,"Historia de Instagram",,Total,810,3,0,5,1,805,,,
17954460293418611,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/30/2023 19:20",,"Historia de Instagram",,Total,773,1,0,,0,769,,,
18051369070417197,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/30/2023 19:20",,"Historia de Instagram",,Total,747,3,0,3,0,745,,,
17951986703555931,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Magos del corazón",0,"04/30/2023 19:20",,"Historia de Instagram",,Total,705,5,0,3,0,704,,,
17930557475675757,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/01/2023 11:26",,"Historia de Instagram",,Total,1143,2,0,3,1,1137,,,
17991040660936365,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buenos días",5,"05/02/2023 08:05",,"Historia de Instagram",,Total,1058,3,0,15,0,993,1,,
18188214319252619,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Soñando Despierta",0,"05/03/2023 05:13",,"Historia de Instagram",,Total,1029,2,0,9,0,1033,,,
17964587150434474,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mi oficina",0,"05/03/2023 08:14",,"Historia de Instagram",,Total,815,7,0,10,2,830,,,
17886844481776879,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy facilité una dinámica para conectar con nuestros ancestros en el taller 'Cultivando el corazón del equipo"" en @ekrmexico",0,"05/04/2023 14:55",,"Historia de Instagram",,Total,1806,8,0,12,1,1702,,,
18016678390574900,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Soñando
despierta",0,"05/05/2023 08:40",,"Historia de Instagram",,Total,1783,5,0,9,1,1734,,,
18083830654344127,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"05/06/2023 05:52",,"Historia de Instagram",,Total,617,4,0,1,0,606,,,
18008117569652555,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En la playa",4,"05/06/2023 08:25",,"Historia de Instagram",,Total,419,2,0,,0,399,,,
17992061269899327,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"05/06/2023 08:28",,"Historia de Instagram",,Total,340,2,1,1,0,319,,,
18332936629074641,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"05/07/2023 07:15",,"Historia de Instagram",,Total,747,4,0,5,0,702,,,
